@relation reordered_features_2017_format

@attribute 'Destination Port' numeric
@attribute 'Flow Duration' numeric
@attribute 'Total Length of Fwd Packets' numeric
@attribute 'FIN Flag Count' numeric
@attribute 'SYN Flag Count' numeric
@attribute 'RST Flag Count' numeric
@attribute Label {DoS}

@data
243,58,58,0,1,0,DoS
72,58,58,0,1,0,DoS
84,58,58,0,1,0,DoS
960,58,58,0,1,0,DoS
222,748,58,0,1,0,DoS
364,2,58,0,1,0,DoS
576,2,58,0,1,0,DoS
160,2,58,0,1,0,DoS
485,15,58,0,1,0,DoS
589,3,58,0,1,0,DoS
2,1,58,0,1,0,DoS
291,3,58,0,1,0,DoS
684,1,58,0,1,0,DoS
94,2,58,0,1,0,DoS
448,2,58,0,1,0,DoS
793,3,58,0,1,0,DoS
657,2,58,0,1,0,DoS
890,22,58,0,1,0,DoS
825,62,58,0,1,0,DoS
624,58,58,0,1,0,DoS
277,58,58,0,1,0,DoS
216,58,58,0,1,0,DoS
203,58,58,0,1,0,DoS
357,58,58,0,1,0,DoS
542,58,58,0,1,0,DoS
254,58,58,0,1,0,DoS
919,58,58,0,1,0,DoS
20,58,58,0,1,0,DoS
747,57,58,0,1,0,DoS
39527,322,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,14,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,31,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,27,54,0,0,1,DoS
39527,51,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,289,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,749,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,19,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,12,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,27,54,0,0,1,DoS
39527,56,54,0,0,1,DoS
39527,61,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,60,54,0,0,1,DoS
39527,56,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
660,21551,58,0,1,0,DoS
597,8,58,0,1,0,DoS
608,2,58,0,1,0,DoS
163,2,58,0,1,0,DoS
728,1,58,0,1,0,DoS
378,2,58,0,1,0,DoS
590,2,58,0,1,0,DoS
156,1,58,0,1,0,DoS
818,2,58,0,1,0,DoS
584,2,58,0,1,0,DoS
741,2,58,0,1,0,DoS
494,1,58,0,1,0,DoS
198,2,58,0,1,0,DoS
830,2,58,0,1,0,DoS
737,1,58,0,1,0,DoS
871,2,58,0,1,0,DoS
940,2,58,0,1,0,DoS
539,1,58,0,1,0,DoS
814,2,58,0,1,0,DoS
559,1,58,0,1,0,DoS
498,2,58,0,1,0,DoS
998,1,58,0,1,0,DoS
976,2,58,0,1,0,DoS
133,1,58,0,1,0,DoS
361,2,58,0,1,0,DoS
192,1,58,0,1,0,DoS
150,1,58,0,1,0,DoS
461,2,58,0,1,0,DoS
836,17,58,0,1,0,DoS
578,3,58,0,1,0,DoS
322,60,58,0,1,0,DoS
769,58,58,0,1,0,DoS
348,58,58,0,1,0,DoS
193,58,58,0,1,0,DoS
138,58,58,0,1,0,DoS
463,58,58,0,1,0,DoS
69,58,58,0,1,0,DoS
386,58,58,0,1,0,DoS
134,58,58,0,1,0,DoS
107,60,58,0,1,0,DoS
376,56,58,0,1,0,DoS
297,58,58,0,1,0,DoS
753,58,58,0,1,0,DoS
734,58,58,0,1,0,DoS
656,58,58,0,1,0,DoS
200,58,58,0,1,0,DoS
105,58,58,0,1,0,DoS
536,58,58,0,1,0,DoS
591,58,58,0,1,0,DoS
596,58,58,0,1,0,DoS
638,1776,58,0,1,0,DoS
39527,7,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
91,15,58,0,1,0,DoS
39527,2,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
866,2,58,0,1,0,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
147,9,58,0,1,0,DoS
39527,1,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
555,2,58,0,1,0,DoS
523,1,58,0,1,0,DoS
812,2,58,0,1,0,DoS
785,1,58,0,1,0,DoS
530,2,58,0,1,0,DoS
365,2,58,0,1,0,DoS
367,1,58,0,1,0,DoS
39527,2,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
351,6,58,0,1,0,DoS
909,2,58,0,1,0,DoS
260,1,58,0,1,0,DoS
796,2,58,0,1,0,DoS
68,1,58,0,1,0,DoS
54,2,58,0,1,0,DoS
404,1,58,0,1,0,DoS
552,2,58,0,1,0,DoS
431,1,58,0,1,0,DoS
526,2,58,0,1,0,DoS
947,2,58,0,1,0,DoS
828,1,58,0,1,0,DoS
173,2,58,0,1,0,DoS
373,1,58,0,1,0,DoS
875,2,58,0,1,0,DoS
719,1,58,0,1,0,DoS
39527,40,54,0,0,1,DoS
39527,52,54,0,0,1,DoS
39527,61,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,58,54,0,0,1,DoS
39527,60,54,0,0,1,DoS
39527,56,54,0,0,1,DoS
39527,61,54,0,0,1,DoS
39527,55,54,0,0,1,DoS
39527,62,54,0,0,1,DoS
39527,54,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,59,54,0,0,1,DoS
39527,57,54,0,0,1,DoS
39527,1784,54,0,0,1,DoS
39527,18,54,0,0,1,DoS
39527,11,54,0,0,1,DoS
39527,11,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,11,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,13,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,13,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
39527,1,54,0,0,1,DoS
39527,0,54,0,0,1,DoS
326,21981,58,0,1,0,DoS
180,10,58,0,1,0,DoS
752,2,58,0,1,0,DoS
927,2,58,0,1,0,DoS
662,2,58,0,1,0,DoS
713,18,58,0,1,0,DoS
797,2,58,0,1,0,DoS
685,2,58,0,1,0,DoS
645,2,58,0,1,0,DoS
762,1,58,0,1,0,DoS
332,2,58,0,1,0,DoS
70,2,58,0,1,0,DoS
580,1,58,0,1,0,DoS
577,2,58,0,1,0,DoS
413,2,58,0,1,0,DoS
821,2,58,0,1,0,DoS
320,1,58,0,1,0,DoS
961,2,58,0,1,0,DoS
74,1,58,0,1,0,DoS
888,2,58,0,1,0,DoS
659,1,58,0,1,0,DoS
882,2,58,0,1,0,DoS
79,2,58,0,1,0,DoS
807,1,58,0,1,0,DoS
787,2,58,0,1,0,DoS
921,1,58,0,1,0,DoS
